"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","4","649","1326","2","324","663"
"1","8","1000","4","649","2078","0","81","259"
"1","32","1000","4","2595","3752","0","81","117"
"2","2","1000","4","649","1320","2","324","660"
"2","8","1000","4","649","2067","0","81","258"
"2","32","1000","4","2595","3752","0","81","117"
"3","2","1000","4","649","1320","2","324","660"
"3","8","1000","4","649","2078","0","81","259"
"3","32","1000","4","2595","3754","0","81","117"
"4","2","1000","4","649","1320","2","324","660"
"4","8","1000","4","649","2078","0","81","259"
"4","32","1000","4","2595","3754","0","81","117"
"5","2","1000","4","648","1320","2","324","660"
"5","8","1000","4","649","2078","0","81","259"
"5","32","1000","4","2595","3752","0","81","117"
"6","2","1000","4","649","1328","2","324","664"
"6","8","1000","4","649","2108","0","81","263"
"6","32","1000","4","2920","4157","0","91","129"
"7","2","1000","4","649","1320","2","324","660"
"7","8","1000","4","649","2108","0","81","263"
"7","32","1000","4","2595","3752","0","81","117"
"8","2","1000","4","649","1320","2","324","660"
"8","8","1000","4","649","2078","0","81","259"
"8","32","1000","4","2595","3756","0","81","117"
"9","2","1000","4","648","1320","2","324","660"
"9","8","1000","4","649","2076","0","81","259"
"9","32","1000","4","2595","3752","0","81","117"
"10","2","1000","4","648","1325","2","324","662"
"10","8","1000","4","649","2108","0","81","263"
"10","32","1000","4","2595","3752","0","81","117"
