"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","428","434","428","429","1716"
"1","semaphore_give_to_taskb_wake","1000","0","773","786",,,"1312"
"1","sleep_1tick_extra","1000","0","1076","1078",,,"1096"
"1","tim2_irq_to_task","1000","0","692","775",,,"1245"
"1","queue_wake_latency","1000","0","718","718",,,"718"
"1","queue_end_to_end_latency","1000","0","944","944",,,"944"
"1","mutex_lock_unlock","1000","0","38","38",,,"44"
"1","mutex_waiter_wake_latency","1000","0","1332","1345",,,"2258"
"1","priority_inheritance_enter_latency","1000","0","1525","1535",,,"2447"
"1","priority_inheritance_exit_latency","1000","0","2188","2209",,,"3121"
"1","soft_timer_callback_to_task","1000","0","660","683",,,"686"
"2","context_switch_a_to_b","999","1","428","434","428","429","1719"
"2","semaphore_give_to_taskb_wake","1000","0","773","786",,,"1311"
"2","sleep_1tick_extra","1000","0","1076","1082",,,"1096"
"2","tim2_irq_to_task","1000","0","720","720",,,"720"
"2","queue_wake_latency","1000","0","708","708",,,"708"
"2","queue_end_to_end_latency","1000","0","934","934",,,"934"
"2","mutex_lock_unlock","1000","0","38","38",,,"44"
"2","mutex_waiter_wake_latency","1000","0","1332","1345",,,"2258"
"2","priority_inheritance_enter_latency","1000","0","1525","1536",,,"2447"
"2","priority_inheritance_exit_latency","1000","0","2188","2208",,,"3116"
"2","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"3","context_switch_a_to_b","999","1","428","434","428","429","1716"
"3","semaphore_give_to_taskb_wake","1000","0","780","789",,,"1314"
"3","sleep_1tick_extra","1000","0","1076","1078",,,"1096"
"3","tim2_irq_to_task","1000","0","720","720",,,"720"
"3","queue_wake_latency","1000","0","667","765",,,"1232"
"3","queue_end_to_end_latency","1000","0","893","1003",,,"1491"
"3","mutex_lock_unlock","1000","0","38","38",,,"510"
"3","mutex_waiter_wake_latency","1000","0","1332","1343",,,"2258"
"3","priority_inheritance_enter_latency","1000","0","1526","1541",,,"2424"
"3","priority_inheritance_exit_latency","1000","0","2188","2203",,,"3116"
"3","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"4","context_switch_a_to_b","999","1","428","431","428","429","938"
"4","semaphore_give_to_taskb_wake","1000","0","771","786",,,"1313"
"4","sleep_1tick_extra","1000","0","1076","1081",,,"1103"
"4","tim2_irq_to_task","1000","0","720","720",,,"720"
"4","queue_wake_latency","1000","0","663","771",,,"1229"
"4","queue_end_to_end_latency","1000","0","889","1009",,,"1488"
"4","mutex_lock_unlock","1000","0","38","38",,,"44"
"4","mutex_waiter_wake_latency","1000","0","1332","1347",,,"2258"
"4","priority_inheritance_enter_latency","1000","0","1526","1535",,,"2041"
"4","priority_inheritance_exit_latency","1000","0","2188","2211",,,"3121"
"4","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"5","context_switch_a_to_b","999","1","428","429","428","429","945"
"5","semaphore_give_to_taskb_wake","1000","0","771","787",,,"1314"
"5","sleep_1tick_extra","1000","0","1076","1078",,,"1096"
"5","tim2_irq_to_task","1000","0","720","720",,,"720"
"5","queue_wake_latency","1000","0","708","708",,,"708"
"5","queue_end_to_end_latency","1000","0","934","934",,,"934"
