"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","10","1","428","431","434","434","1719","428","429"
"mutex_lock_unlock","10","0","38","38","38","38","510",,
"mutex_waiter_wake_latency","10","0","1341","1343","1347","1347","2258",,
"priority_inheritance_enter_latency","10","0","1535","1537","1541","1541","2458",,
"priority_inheritance_exit_latency","10","0","2202","2204","2211","2211","3121",,
"queue_end_to_end_latency","10","0","934","934","1009","1009","1491",,
"queue_wake_latency","10","0","708","708","771","771","1232",,
"semaphore_give_to_taskb_wake","10","0","786","786","789","789","1715",,
"sleep_1tick_extra","10","0","1078","1078","1082","1082","1103",,
"soft_timer_callback_to_task","10","0","683","683","683","683","686",,
"tim2_irq_to_task","10","0","720","720","775","775","1245",,
