"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","10","1","426","426","428","428","1698","424","426"
"mutex_lock_unlock","10","0","38","38","38","38","507",,
"mutex_waiter_wake_latency","10","0","1338","1348","1362","1362","2238",,
"priority_inheritance_enter_latency","10","0","1532","1538","1556","1556","2404",,
"priority_inheritance_exit_latency","10","0","2202","2216","2231","2231","3094",,
"queue_end_to_end_latency","10","0","864","864","926","926","1410",,
"queue_wake_latency","10","0","663","663","713","713","1179",,
"semaphore_give_to_taskb_wake","10","0","770","771","772","772","1695",,
"sleep_1tick_extra","10","0","998","998","1001","1001","1011",,
"soft_timer_callback_to_task","10","0","620","620","620","620","622",,
"tim2_irq_to_task","10","0","668","668","715","715","1184",,
