"metric","runs","threshold_cy","overlap_samples_total","spikes_total","irq_spikes_total","clean_spikes_total","systick_spikes_total","tim2_spikes_total","max_irq_spike_cy","max_clean_spike_cy"
"mutex_lock_unlock_attribution","10","128","4","4","4","0","4","0","507","0"
"queue_end_to_end_latency_attribution","10","1100","140","159","138","21","138","0","1410","1363"
"queue_wake_latency_attribution","10","900","106","127","106","21","106","0","1179","1117"
"semaphore_give_to_taskb_wake_attribution","10","1000","110","102","102","0","102","1","1695","0"
"tim2_irq_to_task_attribution","10","900","148","192","148","44","148","0","1184","1122"
