"tasks","runs","rounds","round_avg_min_cy","round_avg_p50_cy","round_avg_p95_cy","round_avg_max_cy","per_switch_avg_min_cy","per_switch_avg_p50_cy","per_switch_avg_p95_cy","per_switch_avg_max_cy","per_switch_max_observed_cy"
"2","10","1000","799","799","800","800","399","399","400","400","1028"
"32","10","1000","3208","3208","3212","3212","100","100","100","100","313"
"8","10","1000","800","800","801","801","100","100","100","100","355"
