"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","3","799","1574","1","399","787"
"1","8","1000","3","800","2084","0","100","260"
"1","32","1000","3","3209","6874","0","100","214"
"2","2","1000","3","799","1704","1","399","852"
"2","8","1000","3","800","1703","0","100","212"
"2","32","1000","3","3212","10029","0","100","313"
"3","2","1000","3","799","1704","1","399","852"
"3","8","1000","3","801","2109","0","100","263"
"3","32","1000","3","3208","6875","0","100","214"
"4","2","1000","3","800","2056","1","400","1028"
"4","8","1000","3","800","2846","0","100","355"
"4","32","1000","3","3208","6874","0","100","214"
"5","2","1000","3","799","1574","1","399","787"
"5","8","1000","3","800","1574","0","100","196"
"5","32","1000","3","3212","6874","0","100","214"
"6","2","1000","3","800","2056","1","400","1028"
"6","8","1000","3","801","2103","0","100","262"
"6","32","1000","3","3208","6874","0","100","214"
"7","2","1000","3","799","1574","1","399","787"
"7","8","1000","3","800","1574","0","100","196"
"7","32","1000","3","3209","6872","0","100","214"
"8","2","1000","3","800","2056","1","400","1028"
"8","8","1000","3","801","2103","0","100","262"
"8","32","1000","3","3212","10029","0","100","313"
"9","2","1000","3","800","2056","1","400","1028"
"9","8","1000","3","801","2103","0","100","262"
"9","32","1000","3","3208","6874","0","100","214"
"10","2","1000","3","800","2056","1","400","1028"
"10","8","1000","3","801","2108","0","100","263"
"10","32","1000","3","3208","6874","0","100","214"
