"run","steady_8_cy","steady_32_cy","ratio_permille","baseline_2task_cy","verdict"
"1","81","81","1000","324","likely_o1"
"2","81","81","1000","324","likely_o1"
"3","81","81","1000","324","likely_o1"
"4","81","91","1123","324","likely_o1"
"5","81","81","1000","324","likely_o1"
"6","81","91","1123","324","likely_o1"
"7","81","81","1000","324","likely_o1"
"8","81","91","1123","324","likely_o1"
"9","81","81","1000","324","likely_o1"
"10","81","81","1000","324","likely_o1"
