"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","sleep_1tick_extra","1000","0","1076","1093",,,"1240"
"1","tim2_irq_to_task","1000","0","720","732",,,"1235"
"1","queue_wake_latency","1000","0","708","708",,,"708"
"1","queue_end_to_end_latency","1000","0","934","934",,,"934"
"1","mutex_lock_unlock","1000","0","38","38",,,"44"
"1","mutex_waiter_wake_latency","1000","0","1332","1344",,,"1848"
"1","priority_inheritance_enter_latency","1000","0","1526","1537",,,"2457"
"1","priority_inheritance_exit_latency","1000","0","2188","2208",,,"3103"
"1","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"2","sleep_1tick_extra","1000","0","1076","1081",,,"1103"
"2","tim2_irq_to_task","1000","0","720","720",,,"720"
"2","queue_wake_latency","1000","0","708","708",,,"708"
"2","queue_end_to_end_latency","1000","0","934","934",,,"934"
"2","mutex_lock_unlock","1000","0","38","38",,,"44"
"2","mutex_waiter_wake_latency","1000","0","1332","1344",,,"2258"
"2","priority_inheritance_enter_latency","1000","0","1526","1538",,,"2447"
"2","priority_inheritance_exit_latency","1000","0","2188","2205",,,"3116"
"2","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"3","sleep_1tick_extra","1000","0","1076","1078",,,"1096"
"3","tim2_irq_to_task","1000","0","720","720",,,"720"
"3","queue_wake_latency","1000","0","708","708",,,"708"
"3","queue_end_to_end_latency","1000","0","934","934",,,"934"
"3","mutex_lock_unlock","1000","0","38","38",,,"44"
"3","mutex_waiter_wake_latency","1000","0","1332","1344",,,"2258"
"3","priority_inheritance_enter_latency","1000","0","1526","1537",,,"2424"
"3","priority_inheritance_exit_latency","1000","0","2188","2207",,,"3116"
"3","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"4","sleep_1tick_extra","1000","0","1076","1078",,,"1096"
"4","tim2_irq_to_task","1000","0","675","772",,,"1233"
"4","queue_wake_latency","1000","0","708","708",,,"708"
"4","queue_end_to_end_latency","1000","0","934","934",,,"934"
"4","mutex_lock_unlock","1000","0","38","38",,,"44"
"4","mutex_waiter_wake_latency","1000","0","1332","1343",,,"1847"
"4","priority_inheritance_enter_latency","1000","0","1526","1535",,,"2437"
"4","priority_inheritance_exit_latency","1000","0","2188","2207",,,"3117"
"4","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"5","sleep_1tick_extra","1000","0","1076","1082",,,"1101"
"5","tim2_irq_to_task","1000","0","720","720",,,"720"
"5","queue_wake_latency","1000","0","708","708",,,"708"
"5","queue_end_to_end_latency","1000","0","934","934",,,"934"
"5","mutex_lock_unlock","1000","0","38","38",,,"44"
"5","mutex_waiter_wake_latency","1000","0","1332","1342",,,"1851"
"5","priority_inheritance_enter_latency","1000","0","1526","1539",,,"2424"
"5","priority_inheritance_exit_latency","1000","0","2188","2203",,,"3091"
"5","soft_timer_callback_to_task","1000","0","657","683",,,"686"
"6","sleep_1tick_extra","1000","0","1076","1082",,,"1096"
"6","tim2_irq_to_task","1000","0","720","720",,,"720"
