"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","4","649","1320","2","324","660"
"1","8","1000","4","649","2067","0","81","258"
"1","32","1000","4","2595","3756","0","81","117"
"2","2","1000","4","649","1320","2","324","660"
"2","8","1000","4","649","2078","0","81","259"
"2","32","1000","4","2595","3765","0","81","117"
"3","2","1000","4","649","1320","2","324","660"
"3","8","1000","4","649","2117","0","81","264"
"3","32","1000","4","2595","3755","0","81","117"
"4","2","1000","4","649","1344","2","324","672"
"4","8","1000","4","649","2062","0","81","257"
"4","32","1000","4","2920","4157","0","91","129"
"5","2","1000","4","649","1332","2","324","666"
"5","8","1000","4","649","2051","0","81","256"
"5","32","1000","4","2595","3752","0","81","117"
"6","2","1000","4","649","1328","2","324","664"
"6","8","1000","4","649","2078","0","81","259"
"6","32","1000","4","2920","4155","0","91","129"
"7","2","1000","4","648","1320","2","324","660"
"7","8","1000","4","649","2108","0","81","263"
"7","32","1000","4","2595","3754","0","81","117"
"8","2","1000","4","649","1328","2","324","664"
"8","8","1000","4","649","2078","0","81","259"
"8","32","1000","4","2920","4146","0","91","129"
"9","2","1000","4","649","1485","2","324","742"
"9","8","1000","4","649","2117","0","81","264"
"9","32","1000","4","2595","3858","0","81","120"
"10","2","1000","4","649","1320","2","324","660"
"10","8","1000","4","649","2051","0","81","256"
"10","32","1000","4","2595","3752","0","81","117"
