"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","10","795","2067","5","397","1033"
"1","8","1000","10","795","2068","1","99","258"
"1","32","1000","10","3591","7628","0","112","238"
"2","2","1000","10","795","2067","5","397","1033"
"2","8","1000","10","795","2068","1","99","258"
"2","32","1000","10","3192","6839","0","99","213"
"3","2","1000","10","795","2076","5","397","1038"
"3","8","1000","10","795","2070","1","99","258"
"3","32","1000","10","3192","6845","0","99","213"
"4","2","1000","10","795","2067","5","397","1033"
"4","8","1000","10","795","2067","1","99","258"
"4","32","1000","10","3192","6834","0","99","213"
"5","2","1000","10","795","2067","5","397","1033"
"5","8","1000","10","795","2067","1","99","258"
"5","32","1000","10","3192","6834","0","99","213"
"6","2","1000","10","795","2067","5","397","1033"
"6","8","1000","10","795","2070","1","99","258"
"6","32","1000","10","3195","6839","0","99","213"
"7","2","1000","10","795","2070","5","397","1035"
"7","8","1000","10","795","2067","1","99","258"
"7","32","1000","10","3192","6834","0","99","213"
"8","2","1000","10","795","2067","5","397","1033"
"8","8","1000","10","795","2068","1","99","258"
"8","32","1000","10","3192","6839","0","99","213"
"9","2","1000","10","795","2067","5","397","1033"
"9","8","1000","10","795","2067","1","99","258"
"9","32","1000","10","3195","6979","0","99","218"
"10","2","1000","10","795","2067","5","397","1033"
"10","8","1000","10","795","2067","1","99","258"
"10","32","1000","10","3195","9990","0","99","312"
