"run","steady_8_cy","steady_32_cy","ratio_permille","baseline_2task_cy","verdict"
"1","99","112","1131","397","likely_o1"
"2","99","99","1000","397","likely_o1"
"3","99","99","1000","397","likely_o1"
"4","99","99","1000","397","likely_o1"
"5","99","99","1000","397","likely_o1"
"6","99","99","1000","397","likely_o1"
"7","99","99","1000","397","likely_o1"
"8","99","99","1000","397","likely_o1"
"9","99","99","1000","397","likely_o1"
"10","99","99","1000","397","likely_o1"
