"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","10","1","418","418","420","420","1688","416","417"
"mutex_lock_unlock","10","0","38","38","38","38","510",,
"mutex_waiter_wake_latency","10","0","1352","1354","1355","1355","2261",,
"priority_inheritance_enter_latency","10","0","1517","1518","1520","1520","2411",,
"priority_inheritance_exit_latency","10","0","2218","2220","2222","2222","3122",,
"queue_end_to_end_latency","10","0","845","845","907","907","1371",,
"queue_wake_latency","10","0","685","685","743","743","1209",,
"semaphore_give_to_taskb_wake","10","0","760","761","762","762","1690",,
"sleep_1tick_extra","10","0","1074","1076","1077","1077","1095",,
"soft_timer_callback_to_task","10","0","678","678","678","678","683",,
"tim2_irq_to_task","10","0","700","700","757","757","1218",,
