"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","416","418","416","417","926"
"1","semaphore_give_to_taskb_wake","1000","0","757","762",,,"1300"
"1","sleep_1tick_extra","1000","0","1072","1077",,,"1086"
"1","tim2_irq_to_task","1000","0","651","751",,,"1215"
"1","queue_wake_latency","1000","0","685","685",,,"685"
"1","queue_end_to_end_latency","1000","0","845","845",,,"845"
"1","mutex_lock_unlock","1000","0","38","38",,,"44"
"1","mutex_waiter_wake_latency","1000","0","1344","1355",,,"1861"
"1","priority_inheritance_enter_latency","1000","0","1502","1518",,,"2402"
"1","priority_inheritance_exit_latency","1000","0","2203","2220",,,"3111"
"1","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"2","context_switch_a_to_b","999","1","416","418","416","417","927"
"2","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1298"
"2","sleep_1tick_extra","1000","0","1072","1077",,,"1086"
"2","tim2_irq_to_task","1000","0","651","757",,,"1218"
"2","queue_wake_latency","1000","0","693","693",,,"693"
"2","queue_end_to_end_latency","1000","0","853","853",,,"853"
"2","mutex_lock_unlock","1000","0","38","38",,,"508"
"2","mutex_waiter_wake_latency","1000","0","1344","1355",,,"2249"
"2","priority_inheritance_enter_latency","1000","0","1502","1517",,,"2402"
"2","priority_inheritance_exit_latency","1000","0","2203","2220",,,"3110"
"2","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"3","context_switch_a_to_b","999","1","416","419","416","417","927"
"3","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1300"
"3","sleep_1tick_extra","1000","0","1072","1076",,,"1095"
"3","tim2_irq_to_task","1000","0","700","700",,,"700"
"3","queue_wake_latency","1000","0","685","685",,,"685"
"3","queue_end_to_end_latency","1000","0","845","845",,,"845"
"3","mutex_lock_unlock","1000","0","38","38",,,"44"
"3","mutex_waiter_wake_latency","1000","0","1344","1355",,,"2261"
"3","priority_inheritance_enter_latency","1000","0","1502","1518",,,"2393"
"3","priority_inheritance_exit_latency","1000","0","2203","2222",,,"3122"
"3","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"4","context_switch_a_to_b","999","1","416","419","416","417","935"
"4","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1300"
"4","sleep_1tick_extra","1000","0","1072","1077",,,"1086"
"4","tim2_irq_to_task","1000","0","700","700",,,"700"
"4","queue_wake_latency","1000","0","685","685",,,"685"
"4","queue_end_to_end_latency","1000","0","845","845",,,"845"
"4","mutex_lock_unlock","1000","0","38","38",,,"510"
"4","mutex_waiter_wake_latency","1000","0","1344","1352",,,"1861"
"4","priority_inheritance_enter_latency","1000","0","1502","1519",,,"2411"
"4","priority_inheritance_exit_latency","1000","0","2203","2219",,,"3111"
"4","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"5","context_switch_a_to_b","999","1","416","420","416","417","1688"
"5","semaphore_give_to_taskb_wake","1000","0","757","762",,,"1443"
"5","sleep_1tick_extra","1000","0","1072","1075",,,"1086"
"5","tim2_irq_to_task","1000","0","700","744",,,"1216"
"5","queue_wake_latency","1000","0","685","685",,,"685"
"5","queue_end_to_end_latency","1000","0","845","845",,,"845"
"5","mutex_lock_unlock","1000","0","38","38",,,"44"
"5","mutex_waiter_wake_latency","1000","0","1344","1355",,,"1864"
"5","priority_inheritance_enter_latency","1000","0","1502","1517",,,"2402"
"5","priority_inheritance_exit_latency","1000","0","2203","2221",,,"3110"
"5","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"6","context_switch_a_to_b","999","1","416","419","416","417","1225"
"6","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1298"
"6","sleep_1tick_extra","1000","0","1072","1076",,,"1095"
"6","tim2_irq_to_task","1000","0","647","751",,,"1213"
"6","queue_wake_latency","1000","0","685","685",,,"685"
"6","queue_end_to_end_latency","1000","0","845","845",,,"845"
"6","mutex_lock_unlock","1000","0","38","38",,,"44"
"6","mutex_waiter_wake_latency","1000","0","1344","1354",,,"1864"
"6","priority_inheritance_enter_latency","1000","0","1502","1518",,,"2402"
"6","priority_inheritance_exit_latency","1000","0","2203","2220",,,"3111"
"6","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"7","context_switch_a_to_b","999","1","416","418","416","417","927"
"7","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1300"
"7","sleep_1tick_extra","1000","0","1072","1074",,,"1086"
"7","tim2_irq_to_task","1000","0","651","751",,,"1214"
"7","queue_wake_latency","1000","0","685","685",,,"685"
"7","queue_end_to_end_latency","1000","0","845","845",,,"845"
"7","mutex_lock_unlock","1000","0","38","38",,,"510"
"7","mutex_waiter_wake_latency","1000","0","1344","1353",,,"1859"
"7","priority_inheritance_enter_latency","1000","0","1502","1518",,,"2402"
"7","priority_inheritance_exit_latency","1000","0","2203","2220",,,"3111"
"7","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"8","context_switch_a_to_b","999","1","416","419","416","417","1225"
"8","semaphore_give_to_taskb_wake","1000","0","757","762",,,"1690"
"8","sleep_1tick_extra","1000","0","1072","1074",,,"1086"
"8","tim2_irq_to_task","1000","0","700","700",,,"700"
"8","queue_wake_latency","1000","0","685","685",,,"685"
"8","queue_end_to_end_latency","1000","0","845","845",,,"845"
"8","mutex_lock_unlock","1000","0","38","38",,,"508"
"8","mutex_waiter_wake_latency","1000","0","1344","1355",,,"2261"
"8","priority_inheritance_enter_latency","1000","0","1502","1519",,,"2393"
"8","priority_inheritance_exit_latency","1000","0","2203","2221",,,"3122"
"8","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"9","context_switch_a_to_b","999","1","416","418","416","417","927"
"9","semaphore_give_to_taskb_wake","1000","0","757","760",,,"1298"
"9","sleep_1tick_extra","1000","0","1072","1077",,,"1086"
"9","tim2_irq_to_task","1000","0","700","700",,,"700"
"9","queue_wake_latency","1000","0","651","743",,,"1209"
"9","queue_end_to_end_latency","1000","0","811","907",,,"1371"
"9","mutex_lock_unlock","1000","0","38","38",,,"44"
"9","mutex_waiter_wake_latency","1000","0","1344","1352",,,"1861"
"9","priority_inheritance_enter_latency","1000","0","1502","1520",,,"2393"
"9","priority_inheritance_exit_latency","1000","0","2203","2218",,,"3110"
"9","soft_timer_callback_to_task","1000","0","655","678",,,"683"
"10","context_switch_a_to_b","999","1","416","418","416","417","934"
"10","semaphore_give_to_taskb_wake","1000","0","757","761",,,"1300"
"10","sleep_1tick_extra","1000","0","1072","1074",,,"1086"
"10","tim2_irq_to_task","1000","0","700","700",,,"700"
"10","queue_wake_latency","1000","0","685","685",,,"685"
"10","queue_end_to_end_latency","1000","0","845","845",,,"845"
"10","mutex_lock_unlock","1000","0","38","38",,,"44"
"10","mutex_waiter_wake_latency","1000","0","1344","1354",,,"2261"
"10","priority_inheritance_enter_latency","1000","0","1502","1517",,,"2024"
"10","priority_inheritance_exit_latency","1000","0","2203","2221",,,"3122"
"10","soft_timer_callback_to_task","1000","0","655","678",,,"683"
