"metric","runs","threshold_cy","overlap_samples_total","spikes_total","irq_spikes_total","clean_spikes_total","systick_spikes_total","tim2_spikes_total","max_irq_spike_cy","max_clean_spike_cy"
"mutex_lock_unlock_attribution","10","128","6","5","5","0","5","0","509","0"
"queue_end_to_end_latency_attribution","10","1100","382","457","377","80","377","0","1498","1462"
"queue_wake_latency_attribution","10","900","313","393","313","80","313","0","1243","1192"
"semaphore_give_to_taskb_wake_attribution","10","1000","96","88","87","1","87","0","1711","1306"
"tim2_irq_to_task_attribution","10","900","72","100","72","28","72","0","1241","1195"
