"tasks","runs","rounds","round_avg_min_cy","round_avg_p50_cy","round_avg_p95_cy","round_avg_max_cy","per_switch_avg_min_cy","per_switch_avg_p50_cy","per_switch_avg_p95_cy","per_switch_avg_max_cy","per_switch_max_observed_cy"
"2","10","1000","809","809","809","809","404","404","404","404","1053"
"32","10","1000","3249","3249","3659","3659","101","101","114","114","242"
"8","10","1000","810","810","810","810","101","101","101","101","359"
