"run","steady_8_cy","steady_32_cy","ratio_permille","baseline_2task_cy","verdict"
"1","101","101","1000","404","likely_o1"
"2","101","101","1000","404","likely_o1"
"3","101","114","1128","404","likely_o1"
"4","101","101","1000","404","likely_o1"
"5","101","114","1128","404","likely_o1"
"6","101","101","1000","404","likely_o1"
"7","101","101","1000","404","likely_o1"
"8","101","114","1128","404","likely_o1"
"9","101","101","1000","404","likely_o1"
"10","101","101","1000","404","likely_o1"
