"step","status","required","exit_code","duration_s","command","stdout","stderr","note"
"build_f411_debug_app","PASS","True","0","4.06","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f411-nucleo -Profile debug -Mode app","regression_runs\20260414_153507\01_build_f411_debug_app.stdout.log","regression_runs\20260414_153507\01_build_f411_debug_app.stderr.log",""
"build_f411_release_app","PASS","True","0","4.05","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f411-nucleo -Profile release -Mode app","regression_runs\20260414_153507\02_build_f411_release_app.stdout.log","regression_runs\20260414_153507\02_build_f411_release_app.stderr.log",""
"build_f103_debug_app","SKIP","False","0","0","","","","disabled by default (64K conservative FLASH often overflows in debug profile)"
"build_f103_release_app","PASS","True","0","5.09","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f103c8-bluepill -Profile release -Mode app","regression_runs\20260414_153507\04_build_f103_release_app.stdout.log","regression_runs\20260414_153507\04_build_f103_release_app.stderr.log",""
"smoke_f103_app","PASS","True","0","5.08","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_app_smoke.ps1 -Board f103rct6-generic -Port COM17 -ReadTimeoutMs 5000 -StartupWindowMs 3000","regression_runs\20260414_153507\05_smoke_f103_app.stdout.log","regression_runs\20260414_153507\05_smoke_f103_app.stderr.log",""
"smoke_f411_app","PASS","True","0","5.06","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_app_smoke.ps1 -Board f411-nucleo -Port COM6 -ReadTimeoutMs 5000 -StartupWindowMs 3000","regression_runs\20260414_153507\06_smoke_f411_app.stdout.log","regression_runs\20260414_153507\06_smoke_f411_app.stderr.log",""
