"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","1","1","428","428","428","428","939","425","426"
"mutex_lock_unlock","1","0","38","38","38","38","44",,
"mutex_waiter_wake_latency","1","0","1355","1355","1355","1355","2255",,
"priority_inheritance_enter_latency","1","0","1534","1534","1534","1534","2420",,
"priority_inheritance_exit_latency","1","0","2213","2213","2213","2213","3107",,
"queue_end_to_end_latency","1","0","881","881","881","881","881",,
"queue_wake_latency","1","0","663","663","663","663","663",,
"semaphore_give_to_taskb_wake","1","0","773","773","773","773","1317",,
"sleep_1tick_extra","1","0","1000","1000","1000","1000","1005",,
"soft_timer_callback_to_task","1","0","619","619","619","619","621",,
"tim2_irq_to_task","1","0","674","674","674","674","674",,
