"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","425","428","425","425","1692"
"1","semaphore_give_to_taskb_wake","1000","0","738","742",,,"1252"
"1","sleep_1tick_extra","1000","0","1036","1051",,,"1068"
"1","tim2_irq_to_task","1000","0","689","689",,,"689"
"1","queue_wake_latency","1000","0","677","677",,,"677"
"1","queue_end_to_end_latency","1000","0","834","834",,,"834"
"1","mutex_lock_unlock","1000","0","31","31",,,"35"
"1","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"2","context_switch_a_to_b","999","1","425","428","425","425","1692"
"2","semaphore_give_to_taskb_wake","1000","0","740","746",,,"1219"
"2","sleep_1tick_extra","1000","0","1049","1052",,,"1065"
"2","tim2_irq_to_task","1000","0","689","689",,,"689"
"2","queue_wake_latency","1000","0","677","677",,,"677"
"2","queue_end_to_end_latency","1000","0","834","834",,,"834"
"2","mutex_lock_unlock","1000","0","31","31",,,"35"
"2","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"3","context_switch_a_to_b","999","1","425","428","425","425","1239"
"3","semaphore_give_to_taskb_wake","1000","0","738","744",,,"1231"
"3","sleep_1tick_extra","1000","0","1036","1052",,,"1065"
"3","tim2_irq_to_task","1000","0","689","689",,,"689"
"3","queue_wake_latency","1000","0","677","677",,,"677"
"3","queue_end_to_end_latency","1000","0","834","834",,,"834"
"3","mutex_lock_unlock","1000","0","31","31",,,"35"
"3","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"4","context_switch_a_to_b","999","1","425","427","425","425","908"
"4","semaphore_give_to_taskb_wake","1000","0","738","741",,,"1229"
"4","sleep_1tick_extra","1000","0","1047","1052",,,"1065"
"4","tim2_irq_to_task","1000","0","689","689",,,"689"
"4","queue_wake_latency","1000","0","677","677",,,"677"
"4","queue_end_to_end_latency","1000","0","834","834",,,"834"
"4","mutex_lock_unlock","1000","0","31","31",,,"497"
"4","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"5","context_switch_a_to_b","999","1","425","427","425","425","908"
"5","semaphore_give_to_taskb_wake","1000","0","738","744",,,"1608"
"5","sleep_1tick_extra","1000","0","1030","1047",,,"1051"
"5","tim2_irq_to_task","1000","0","689","689",,,"689"
"5","queue_wake_latency","1000","0","677","677",,,"677"
"5","queue_end_to_end_latency","1000","0","834","834",,,"834"
"5","mutex_lock_unlock","1000","0","31","31",,,"35"
"5","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"6","context_switch_a_to_b","999","1","425","428","425","425","1692"
"6","semaphore_give_to_taskb_wake","1000","0","738","746",,,"1254"
"6","sleep_1tick_extra","1000","0","1030","1047",,,"1065"
"6","tim2_irq_to_task","1000","0","689","689",,,"689"
"6","queue_wake_latency","1000","0","677","677",,,"677"
"6","queue_end_to_end_latency","1000","0","834","834",,,"834"
"6","mutex_lock_unlock","1000","0","31","31",,,"35"
"6","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"7","context_switch_a_to_b","999","1","425","427","425","425","914"
"7","semaphore_give_to_taskb_wake","1000","0","740","743",,,"1252"
"7","sleep_1tick_extra","1000","0","1030","1048",,,"1065"
"7","tim2_irq_to_task","1000","0","689","689",,,"689"
"7","queue_wake_latency","1000","0","677","677",,,"677"
"7","queue_end_to_end_latency","1000","0","834","834",,,"834"
"7","mutex_lock_unlock","1000","0","31","31",,,"495"
"7","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"8","context_switch_a_to_b","999","1","425","427","425","425","908"
"8","semaphore_give_to_taskb_wake","1000","0","740","743",,,"1256"
"8","sleep_1tick_extra","1000","0","1030","1047",,,"1065"
"8","tim2_irq_to_task","1000","0","689","689",,,"689"
"8","queue_wake_latency","1000","0","631","726",,,"1165"
"8","queue_end_to_end_latency","1000","0","788","883",,,"1322"
"8","mutex_lock_unlock","1000","0","31","31",,,"35"
"8","soft_timer_callback_to_task","1000","0","653","674",,,"677"
"9","context_switch_a_to_b","999","1","425","428","425","425","1284"
"9","semaphore_give_to_taskb_wake","1000","0","738","743",,,"1608"
"9","sleep_1tick_extra","1000","0","1030","1047",,,"1065"
"9","tim2_irq_to_task","1000","0","689","689",,,"689"
"9","queue_wake_latency","1000","0","677","677",,,"677"
"9","queue_end_to_end_latency","1000","0","834","834",,,"834"
"9","mutex_lock_unlock","1000","0","31","31",,,"35"
"9","soft_timer_callback_to_task","1000","0","648","674",,,"679"
"10","context_switch_a_to_b","999","1","425","426","425","425","906"
"10","semaphore_give_to_taskb_wake","1000","0","740","747",,,"1252"
"10","sleep_1tick_extra","1000","0","1030","1047",,,"1065"
"10","tim2_irq_to_task","1000","0","689","689",,,"689"
"10","queue_wake_latency","1000","0","646","730",,,"1173"
"10","queue_end_to_end_latency","1000","0","803","892",,,"1335"
"10","mutex_lock_unlock","1000","0","31","31",,,"496"
"10","soft_timer_callback_to_task","1000","0","648","674",,,"679"
