"step","status","required","exit_code","duration_s","command","stdout","stderr","note"
"build_f103_debug_app","SKIP","False","0","0","","","","disabled by default (64K conservative FLASH often overflows in debug profile)"
"build_f411_nucleo_debug_app","PASS","True","0","4.05","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f411-nucleo -Profile debug -Mode app","regression_runs\20260414_155142\02_build_f411_nucleo_debug_app.stdout.log","regression_runs\20260414_155142\02_build_f411_nucleo_debug_app.stderr.log",""
"build_f411_nucleo_release_app","PASS","True","0","4.05","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f411-nucleo -Profile release -Mode app","regression_runs\20260414_155142\03_build_f411_nucleo_release_app.stdout.log","regression_runs\20260414_155142\03_build_f411_nucleo_release_app.stderr.log",""
"build_f103c8_bluepill_release_app","PASS","True","0","4.06","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/build_board.ps1 -Board f103c8-bluepill -Profile release -Mode app","regression_runs\20260414_155142\04_build_f103c8_bluepill_release_app.stdout.log","regression_runs\20260414_155142\04_build_f103c8_bluepill_release_app.stderr.log",""
"smoke_f103rct6_generic_release_app","FAIL","True","1","30.32","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_app_smoke.ps1 -Board f103rct6-generic -Port COM17 -ReadTimeoutMs 5000 -StartupWindowMs 3000","regression_runs\20260414_155142\05_smoke_f103rct6_generic_release_app.stdout.log","regression_runs\20260414_155142\05_smoke_f103rct6_generic_release_app.stderr.log","exit_code=1"
"smoke_f411_nucleo_release_app","FAIL","True","1","10.1","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_app_smoke.ps1 -Board f411-nucleo -Port COM6 -ReadTimeoutMs 5000 -StartupWindowMs 3000","regression_runs\20260414_155142\06_smoke_f411_nucleo_release_app.stdout.log","regression_runs\20260414_155142\06_smoke_f411_nucleo_release_app.stderr.log","exit_code=1"
