"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","10","1","427","428","428","428","1694","425","426"
"mutex_lock_unlock","10","0","38","38","38","38","506",,
"mutex_waiter_wake_latency","10","0","1346","1348","1355","1355","2256",,
"priority_inheritance_enter_latency","10","0","1533","1536","1538","1538","2421",,
"priority_inheritance_exit_latency","10","0","2203","2206","2214","2214","3241",,
"queue_end_to_end_latency","10","0","881","881","944","944","1428",,
"queue_wake_latency","10","0","663","663","714","714","1179",,
"semaphore_give_to_taskb_wake","10","0","773","773","775","775","1692",,
"sleep_1tick_extra","10","0","1000","1001","1002","1002","1009",,
"soft_timer_callback_to_task","10","0","619","619","619","619","621",,
"tim2_irq_to_task","10","0","674","674","674","674","674",,
