"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","3","801","2081","1","400","1040"
"1","8","1000","3","802","2086","0","100","260"
"1","32","1000","3","3217","6890","0","100","215"
"2","2","1000","3","801","2084","1","400","1042"
"2","8","1000","3","801","1724","0","100","215"
"2","32","1000","3","3220","6892","0","100","215"
"3","2","1000","3","801","2084","1","400","1042"
"3","8","1000","3","801","1725","0","100","215"
"3","32","1000","3","3220","7035","0","100","219"
"4","2","1000","3","801","2084","1","400","1042"
"4","8","1000","3","802","2851","0","100","356"
"4","32","1000","3","3216","6891","0","100","215"
"5","2","1000","3","801","1724","1","400","862"
"5","8","1000","3","803","2851","0","100","356"
"5","32","1000","3","3220","10054","0","100","314"
"6","2","1000","3","801","2085","1","400","1042"
"6","8","1000","3","802","2083","0","100","260"
"6","32","1000","3","3217","6885","0","100","215"
"7","2","1000","3","801","2081","1","400","1040"
"7","8","1000","3","801","2085","0","100","260"
"7","32","1000","3","3220","6908","0","100","215"
"8","2","1000","3","801","2085","1","400","1042"
"8","8","1000","3","802","2851","0","100","356"
"8","32","1000","3","3217","6893","0","100","215"
"9","2","1000","3","801","1578","1","400","789"
"9","8","1000","3","803","2089","0","100","261"
"9","32","1000","3","3220","10064","0","100","314"
"10","2","1000","3","801","2081","1","400","1040"
"10","8","1000","3","802","2851","0","100","356"
"10","32","1000","3","3217","6892","0","100","215"
