"run","steady_8_cy","steady_32_cy","ratio_permille","baseline_2task_cy","verdict"
"1","100","100","1000","400","likely_o1"
"2","100","100","1000","400","likely_o1"
"3","100","100","1000","400","likely_o1"
"4","100","100","1000","400","likely_o1"
"5","100","100","1000","400","likely_o1"
"6","100","100","1000","400","likely_o1"
"7","100","100","1000","400","likely_o1"
"8","100","100","1000","400","likely_o1"
"9","100","100","1000","400","likely_o1"
"10","100","100","1000","400","likely_o1"
