"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","3","794","2041","1","397","1020"
"1","8","1000","3","795","2046","0","99","255"
"1","32","1000","3","3187","9910","0","99","309"
"2","2","1000","3","794","2041","1","397","1020"
"2","8","1000","3","795","2814","0","99","351"
"2","32","1000","3","3585","11098","0","112","346"
"3","2","1000","3","794","2144","1","397","1072"
"3","8","1000","3","796","2179","0","99","272"
"3","32","1000","3","3187","6928","0","99","216"
"4","2","1000","3","794","2041","1","397","1020"
"4","8","1000","3","796","2807","0","99","350"
"4","32","1000","3","3187","9905","0","99","309"
"5","2","1000","3","794","2041","1","397","1020"
"5","8","1000","3","796","2782","0","99","347"
"5","32","1000","3","3585","11095","0","112","346"
"6","2","1000","3","794","2194","1","397","1097"
"6","8","1000","3","796","2967","0","99","370"
"6","32","1000","3","3187","6959","0","99","217"
"7","2","1000","3","794","2041","1","397","1020"
"7","8","1000","3","796","2807","0","99","350"
"7","32","1000","3","3187","6798","0","99","212"
"8","2","1000","3","794","2041","1","397","1020"
"8","8","1000","3","795","2782","0","99","347"
"8","32","1000","3","3187","9905","0","99","309"
"9","2","1000","3","794","2041","1","397","1020"
"9","8","1000","3","795","2777","0","99","347"
"9","32","1000","3","3184","6793","0","99","212"
"10","2","1000","3","794","2036","1","397","1018"
"10","8","1000","3","796","2789","0","99","348"
"10","32","1000","3","3187","9905","0","99","309"
