"tasks","runs","rounds","round_avg_min_cy","round_avg_p50_cy","round_avg_p95_cy","round_avg_max_cy","per_switch_avg_min_cy","per_switch_avg_p50_cy","per_switch_avg_p95_cy","per_switch_avg_max_cy","per_switch_max_observed_cy"
"2","10","1000","794","794","794","794","397","397","397","397","1097"
"32","10","1000","3184","3187","3585","3585","99","99","112","112","346"
"8","10","1000","795","796","796","796","99","99","99","99","370"
