"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","10","1","417","417","419","419","1256","416","416"
"mutex_lock_unlock","10","0","31","31","31","31","498",,
"mutex_waiter_wake_latency","10","0","1343","1353","1363","1363","2235",,
"priority_inheritance_enter_latency","10","0","1515","1521","1523","1523","2500",,
"priority_inheritance_exit_latency","10","0","2210","2223","2235","2235","3099",,
"queue_end_to_end_latency","10","0","834","834","834","834","834",,
"queue_wake_latency","10","0","678","678","678","678","678",,
"semaphore_give_to_taskb_wake","10","0","748","750","763","763","1261",,
"sleep_1tick_extra","10","0","1049","1050","1055","1055","1067",,
"soft_timer_callback_to_task","10","0","673","673","686","686","811",,
"tim2_irq_to_task","10","0","697","697","697","697","697",,
