"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","415","417","416","416","901"
"1","semaphore_give_to_taskb_wake","1000","0","748","763",,,"1261"
"1","sleep_1tick_extra","1000","0","1031","1049",,,"1067"
"1","tim2_irq_to_task","1000","0","697","697",,,"697"
"1","queue_wake_latency","1000","0","678","678",,,"678"
"1","queue_end_to_end_latency","1000","0","834","834",,,"834"
"1","mutex_lock_unlock","1000","0","31","31",,,"38"
"1","mutex_waiter_wake_latency","1000","0","1338","1347",,,"1830"
"1","priority_inheritance_enter_latency","1000","0","1514","1522",,,"2005"
"1","priority_inheritance_exit_latency","1000","0","2201","2215",,,"3079"
"1","soft_timer_callback_to_task","1000","0","647","673",,,"676"
"2","context_switch_a_to_b","999","1","415","417","416","416","901"
"2","semaphore_give_to_taskb_wake","1000","0","748","763",,,"1238"
"2","sleep_1tick_extra","1000","0","1029","1049",,,"1067"
"2","tim2_irq_to_task","1000","0","697","697",,,"697"
"2","queue_wake_latency","1000","0","678","678",,,"678"
"2","queue_end_to_end_latency","1000","0","834","834",,,"834"
"2","mutex_lock_unlock","1000","0","31","31",,,"38"
"2","mutex_waiter_wake_latency","1000","0","1338","1359",,,"2216"
"2","priority_inheritance_enter_latency","1000","0","1514","1519",,,"2004"
"2","priority_inheritance_exit_latency","1000","0","2201","2228",,,"3083"
"2","soft_timer_callback_to_task","1000","0","647","673",,,"676"
"3","context_switch_a_to_b","999","1","415","417","416","416","901"
"3","semaphore_give_to_taskb_wake","1000","0","748","750",,,"1259"
"3","sleep_1tick_extra","1000","0","1052","1055",,,"1067"
"3","tim2_irq_to_task","1000","0","697","697",,,"697"
"3","queue_wake_latency","1000","0","678","678",,,"678"
"3","queue_end_to_end_latency","1000","0","834","834",,,"834"
"3","mutex_lock_unlock","1000","0","31","31",,,"38"
"3","mutex_waiter_wake_latency","1000","0","1338","1347",,,"2231"
"3","priority_inheritance_enter_latency","1000","0","1514","1521",,,"2043"
"3","priority_inheritance_exit_latency","1000","0","2201","2216",,,"3095"
"3","soft_timer_callback_to_task","1000","0","647","673",,,"676"
"4","context_switch_a_to_b","999","1","415","418","416","416","913"
