"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","429","431","429","430","940"
"1","semaphore_give_to_taskb_wake","1000","0","767","773",,,"1308"
"1","sleep_1tick_extra","1000","0","1081","1083",,,"1097"
"1","tim2_irq_to_task","1000","0","728","728",,,"728"
"1","queue_wake_latency","1000","0","673","782",,,"1243"
"1","queue_end_to_end_latency","1000","0","898","1019",,,"1498"
"1","mutex_lock_unlock","1000","0","38","38",,,"509"
"1","mutex_waiter_wake_latency","1000","0","1329","1334",,,"1736"
"1","priority_inheritance_enter_latency","1000","0","1529","1556",,,"2048"
"1","priority_inheritance_exit_latency","1000","0","2205","2210",,,"2613"
"1","soft_timer_callback_to_task","1000","0","656","678",,,"683"
