"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","1","1","431","431","431","431","940","429","430"
"mutex_lock_unlock","1","0","38","38","38","38","509",,
"mutex_waiter_wake_latency","1","0","1334","1334","1334","1334","1736",,
"priority_inheritance_enter_latency","1","0","1556","1556","1556","1556","2048",,
"priority_inheritance_exit_latency","1","0","2210","2210","2210","2210","2613",,
"queue_end_to_end_latency","1","0","1019","1019","1019","1019","1498",,
"queue_wake_latency","1","0","782","782","782","782","1243",,
"semaphore_give_to_taskb_wake","1","0","773","773","773","773","1308",,
"sleep_1tick_extra","1","0","1083","1083","1083","1083","1097",,
"soft_timer_callback_to_task","1","0","678","678","678","678","683",,
"tim2_irq_to_task","1","0","728","728","728","728","728",,
