"metric","runs","skipped","avg_min_cy","avg_p50_cy","avg_p95_cy","avg_max_cy","max_observed_cy","sample_p50_cy","sample_p95_cy"
"context_switch_a_to_b","30","1","440","441","442","442","1781","438","438"
"mutex_lock_unlock","30","0","40","40","40","40","577",,
"mutex_waiter_wake_latency","30","0","1417","1418","1418","1419","2350",,
"priority_inheritance_enter_latency","30","0","1618","1620","1622","1622","2703",,
"priority_inheritance_exit_latency","30","0","2311","2312","2314","2315","3369",,
"queue_end_to_end_latency","30","0","890","890","956","956","1455",,
"queue_wake_latency","30","0","694","694","747","748","1229",,
"semaphore_give_to_taskb_wake","30","0","815","820","821","821","1776",,
"sleep_1tick_extra","30","0","1070","1070","1070","1080","1202",,
"soft_timer_callback_to_task","30","0","656","656","656","656","658",,
"tim2_irq_to_task","30","0","701","752","753","753","1239",,
