"run","metric","phase_count","clean_spikes","label1","dominant1","label2","dominant2","label3","dominant3","label4","dominant4","max_label1","max1_cy","max_label2","max2_cy","max_label3","max3_cy","max_label4","max4_cy"
"1","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"1","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"1","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"2","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","906",,,,
"2","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"2","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"3","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"3","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"3","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"4","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"4","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"4","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"5","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"5","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"5","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"6","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"6","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"6","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"7","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"8","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"8","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"8","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"9","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","906",,,,
"9","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"9","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"10","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"10","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"10","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"11","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"11","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"11","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"12","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"12","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"12","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"13","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"13","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"13","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"14","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"14","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"14","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"15","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"15","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"15","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"16","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"16","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"16","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"17","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"17","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"17","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"18","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"18","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"18","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"19","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"19","queue_wake_latency_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","267","resume","905",,,,
"19","queue_end_to_end_latency_clean_breakdown","4","23","send","0","unblock","0","resume","23","recv","0","send","48","unblock","267","resume","1002","recv","97"
"20","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"20","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"20","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"21","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"21","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"21","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"22","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"22","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"22","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"23","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"23","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"23","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"24","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"24","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"24","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"25","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"25","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"25","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"26","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"26","queue_wake_latency_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","267","resume","912",,,,
"26","queue_end_to_end_latency_clean_breakdown","4","23","send","0","unblock","0","resume","23","recv","0","send","48","unblock","267","resume","1009","recv","97"
"27","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"27","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"27","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"28","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"28","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"28","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"29","tim2_irq_to_task_clean_breakdown","2","23","unblock","0","resume","23",,,,,"unblock","277","resume","909",,,,
"29","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"29","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"30","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"30","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"30","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
