"run","metric","count","skipped","min_cy","avg_cy","p50_cy","p95_cy","max_cy"
"1","context_switch_a_to_b","999","1","438","442","438","438","1781"
"1","semaphore_give_to_taskb_wake","1000","0","807","820",,,"1380"
"1","sleep_1tick_extra","1000","0","1070","1070",,,"1071"
"1","tim2_irq_to_task","1000","0","701","701",,,"701"
"1","queue_wake_latency","1000","0","694","694",,,"694"
"1","queue_end_to_end_latency","1000","0","890","890",,,"890"
"1","mutex_lock_unlock","1000","0","40","40",,,"530"
"1","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2347"
"1","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2552"
"1","priority_inheritance_exit_latency","1000","0","2296","2314",,,"3245"
"1","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"2","context_switch_a_to_b","999","1","438","440","438","438","974"
"2","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1388"
"2","sleep_1tick_extra","1000","0","1070","1070",,,"1071"
"2","tim2_irq_to_task","1000","0","701","753",,,"1237"
"2","queue_wake_latency","1000","0","694","694",,,"694"
"2","queue_end_to_end_latency","1000","0","890","890",,,"890"
"2","mutex_lock_unlock","1000","0","40","40",,,"531"
"2","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"2","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2167"
"2","priority_inheritance_exit_latency","1000","0","2296","2314",,,"3241"
"2","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"3","context_switch_a_to_b","999","1","438","441","438","438","980"
"3","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1752"
"3","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"3","tim2_irq_to_task","1000","0","701","752",,,"1235"
"3","queue_wake_latency","1000","0","694","694",,,"694"
"3","queue_end_to_end_latency","1000","0","890","890",,,"890"
"3","mutex_lock_unlock","1000","0","40","40",,,"45"
"3","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"3","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"3","priority_inheritance_exit_latency","1000","0","2296","2312",,,"3241"
"3","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"4","context_switch_a_to_b","999","1","438","441","438","438","1278"
"4","semaphore_give_to_taskb_wake","1000","0","812","821",,,"1376"
"4","sleep_1tick_extra","1000","0","1070","1070",,,"1071"
"4","tim2_irq_to_task","1000","0","701","701",,,"701"
"4","queue_wake_latency","1000","0","694","694",,,"694"
"4","queue_end_to_end_latency","1000","0","890","890",,,"890"
"4","mutex_lock_unlock","1000","0","40","40",,,"531"
"4","mutex_waiter_wake_latency","1000","0","1408","1417",,,"1953"
"4","priority_inheritance_enter_latency","1000","0","1604","1622",,,"2534"
"4","priority_inheritance_exit_latency","1000","0","2296","2311",,,"3241"
"4","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"5","context_switch_a_to_b","999","1","438","441","438","438","980"
"5","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"5","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"5","tim2_irq_to_task","1000","0","701","752",,,"1235"
"5","queue_wake_latency","1000","0","694","694",,,"694"
"5","queue_end_to_end_latency","1000","0","890","890",,,"890"
"5","mutex_lock_unlock","1000","0","40","40",,,"45"
"5","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"5","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"5","priority_inheritance_exit_latency","1000","0","2296","2312",,,"3241"
"5","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"6","context_switch_a_to_b","999","1","438","441","438","438","980"
"6","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"6","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"6","tim2_irq_to_task","1000","0","701","752",,,"1235"
"6","queue_wake_latency","1000","0","694","694",,,"694"
"6","queue_end_to_end_latency","1000","0","890","890",,,"890"
"6","mutex_lock_unlock","1000","0","40","40",,,"45"
"6","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"6","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"6","priority_inheritance_exit_latency","1000","0","2296","2312",,,"3241"
"6","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"7","context_switch_a_to_b","999","1","438","442","438","438","1781"
"7","semaphore_give_to_taskb_wake","1000","0","812","821",,,"1376"
"7","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"7","tim2_irq_to_task","1000","0","701","701",,,"701"
"7","queue_wake_latency","1000","0","694","694",,,"694"
"7","queue_end_to_end_latency","1000","0","890","890",,,"890"
"7","mutex_lock_unlock","1000","0","40","40",,,"45"
"7","mutex_waiter_wake_latency","1000","0","1408","1418",,,"1953"
"7","priority_inheritance_enter_latency","1000","0","1604","1621",,,"2534"
"7","priority_inheritance_exit_latency","1000","0","2296","2313",,,"3244"
"7","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"8","context_switch_a_to_b","999","1","438","441","438","438","980"
"8","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"8","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"8","tim2_irq_to_task","1000","0","701","752",,,"1235"
"8","queue_wake_latency","1000","0","694","694",,,"694"
"8","queue_end_to_end_latency","1000","0","890","890",,,"890"
"8","mutex_lock_unlock","1000","0","40","40",,,"45"
"8","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"8","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"8","priority_inheritance_exit_latency","1000","0","2296","2312",,,"3241"
"8","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"9","context_switch_a_to_b","999","1","438","441","438","438","1781"
"9","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"9","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"9","tim2_irq_to_task","1000","0","701","753",,,"1239"
"9","queue_wake_latency","1000","0","694","694",,,"694"
"9","queue_end_to_end_latency","1000","0","890","890",,,"890"
"9","mutex_lock_unlock","1000","0","40","40",,,"45"
"9","mutex_waiter_wake_latency","1000","0","1408","1418",,,"1951"
"9","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"9","priority_inheritance_exit_latency","1000","0","2296","2313",,,"3241"
"9","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"10","context_switch_a_to_b","999","1","438","441","438","438","980"
"10","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"10","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"10","tim2_irq_to_task","1000","0","701","752",,,"1235"
"10","queue_wake_latency","1000","0","694","694",,,"694"
"10","queue_end_to_end_latency","1000","0","890","890",,,"890"
"10","mutex_lock_unlock","1000","0","40","40",,,"45"
"10","mutex_waiter_wake_latency","1000","0","1408","1418",,,"2350"
"10","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"10","priority_inheritance_exit_latency","1000","0","2296","2312",,,"3241"
"10","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"11","context_switch_a_to_b","999","1","438","442","438","438","1781"
"11","semaphore_give_to_taskb_wake","1000","0","807","819",,,"1769"
"11","sleep_1tick_extra","1000","0","1070","1070",,,"1071"
"11","tim2_irq_to_task","1000","0","701","701",,,"701"
"11","queue_wake_latency","1000","0","694","694",,,"694"
"11","queue_end_to_end_latency","1000","0","890","890",,,"890"
"11","mutex_lock_unlock","1000","0","40","40",,,"45"
"11","mutex_waiter_wake_latency","1000","0","1408","1418",,,"1956"
"11","priority_inheritance_enter_latency","1000","0","1604","1620",,,"2534"
"11","priority_inheritance_exit_latency","1000","0","2296","2313",,,"3241"
"11","soft_timer_callback_to_task","1000","0","656","656",,,"658"
"12","context_switch_a_to_b","999","1","438","441","438","438","980"
"12","semaphore_give_to_taskb_wake","1000","0","812","820",,,"1376"
"12","sleep_1tick_extra","1000","0","1070","1070",,,"1070"
"12","tim2_irq_to_task","1000","0","701","752",,,"1235"
"12","queue_wake_latency","1000","0","694","694",,,"694"
