"run","tasks","rounds","round_min_cy","round_avg_cy","round_max_cy","per_switch_min_cy","per_switch_avg_cy","per_switch_max_cy"
"1","2","1000","847","858","2196","423","429","1098"
"1","8","1000","847","858","2210","105","107","276"
"1","32","1000","3403","3432","4102","106","107","128"
"2","2","1000","847","858","2197","423","429","1098"
"2","8","1000","847","858","2215","105","107","276"
"2","32","1000","3403","3432","3988","106","107","124"
"3","2","1000","847","858","2202","423","429","1101"
"3","8","1000","847","858","2202","105","107","275"
"3","32","1000","3403","3432","3988","106","107","124"
"4","2","1000","847","858","2199","423","429","1099"
"4","8","1000","847","858","2199","105","107","274"
"4","32","1000","3403","3432","3993","106","107","124"
"5","2","1000","847","858","2202","423","429","1101"
"5","8","1000","847","858","2202","105","107","275"
"5","32","1000","3403","3432","3988","106","107","124"
"6","2","1000","847","858","2202","423","429","1101"
"6","8","1000","847","858","2202","105","107","275"
"6","32","1000","3403","3432","3988","106","107","124"
"7","2","1000","847","858","2196","423","429","1098"
"7","8","1000","847","858","2210","105","107","276"
"7","32","1000","3403","3432","3994","106","107","124"
"8","2","1000","847","858","2202","423","429","1101"
"8","8","1000","847","858","2202","105","107","275"
"8","32","1000","3403","3432","3988","106","107","124"
"9","2","1000","847","858","2197","423","429","1098"
"9","8","1000","847","858","2202","105","107","275"
"9","32","1000","3403","3432","3988","106","107","124"
"10","2","1000","847","858","2202","423","429","1101"
"10","8","1000","847","858","2202","105","107","275"
"10","32","1000","3403","3432","3988","106","107","124"
"11","2","1000","847","858","1427","423","429","713"
"11","8","1000","847","858","1433","105","107","179"
"11","32","1000","3403","3435","7311","106","107","228"
"12","2","1000","847","858","2202","423","429","1101"
"12","8","1000","847","858","2202","105","107","275"
"12","32","1000","3403","3432","3988","106","107","124"
"13","2","1000","847","858","2196","423","429","1098"
"13","8","1000","847","858","2202","105","107","275"
"13","32","1000","3403","3432","3988","106","107","124"
"14","2","1000","847","858","2199","423","429","1099"
"14","8","1000","847","858","2199","105","107","274"
"14","32","1000","3403","3435","7322","106","107","228"
"15","2","1000","847","858","2202","423","429","1101"
"15","8","1000","847","858","2202","105","107","275"
"15","32","1000","3403","3432","3988","106","107","124"
"16","2","1000","847","858","2202","423","429","1101"
"16","8","1000","847","858","2202","105","107","275"
"16","32","1000","3403","3432","3988","106","107","124"
"17","2","1000","847","858","2210","423","429","1105"
"17","8","1000","847","858","2200","105","107","275"
"17","32","1000","3403","3432","3988","106","107","124"
"18","2","1000","847","858","1427","423","429","713"
"18","8","1000","847","859","2199","105","107","274"
"18","32","1000","3403","3435","7308","106","107","228"
"19","2","1000","847","858","2202","423","429","1101"
"19","8","1000","847","858","2197","105","107","274"
"19","32","1000","3403","3435","7311","106","107","228"
"20","2","1000","847","858","2202","423","429","1101"
"20","8","1000","847","858","2202","105","107","275"
"20","32","1000","3403","3432","3988","106","107","124"
"21","2","1000","847","858","2202","423","429","1101"
"21","8","1000","847","858","2202","105","107","275"
"21","32","1000","3403","3432","3988","106","107","124"
"22","2","1000","847","858","2202","423","429","1101"
"22","8","1000","847","858","2202","105","107","275"
"22","32","1000","3403","3432","3988","106","107","124"
"23","2","1000","847","858","2202","423","429","1101"
"23","8","1000","847","858","2202","105","107","275"
"23","32","1000","3403","3432","3988","106","107","124"
"24","2","1000","847","858","1427","423","429","713"
"24","8","1000","847","858","1433","105","107","179"
"24","32","1000","3403","3435","7311","106","107","228"
"25","2","1000","847","858","2202","423","429","1101"
"25","8","1000","847","858","2202","105","107","275"
"25","32","1000","3403","3432","3988","106","107","124"
"26","2","1000","847","858","2196","423","429","1098"
"26","8","1000","847","858","2202","105","107","275"
"26","32","1000","3403","3432","3989","106","107","124"
"27","2","1000","847","858","2202","423","429","1101"
"27","8","1000","847","858","2196","105","107","274"
"27","32","1000","3403","3435","7308","106","107","228"
"28","2","1000","847","858","2202","423","429","1101"
"28","8","1000","847","858","2196","105","107","274"
"28","32","1000","3403","3435","7311","106","107","228"
"29","2","1000","847","858","2202","423","429","1101"
"29","8","1000","847","858","2202","105","107","275"
"29","32","1000","3403","3432","3988","106","107","124"
"30","2","1000","847","858","2210","423","429","1105"
"30","8","1000","847","858","2210","105","107","276"
"30","32","1000","3403","3435","7322","106","107","228"
