"tasks","runs","rounds","round_avg_min_cy","round_avg_p50_cy","round_avg_p95_cy","round_avg_max_cy","per_switch_avg_min_cy","per_switch_avg_p50_cy","per_switch_avg_p95_cy","per_switch_avg_max_cy","per_switch_max_observed_cy"
"2","30","1000","858","858","858","858","429","429","429","429","1105"
"32","30","1000","3432","3432","3435","3435","107","107","107","107","228"
"8","30","1000","858","858","858","859","107","107","107","107","276"
